"time"	"time"	"antispace"
6280	6280	0.001873400594
6290	6290	0.001854759947
6300	6300	0.001836304777
6310	6310	0.001818033239
6320	6320	0.001799943506
6330	6330	0.001782033769
6340	6340	0.001764302237
6350	6350	0.001746747136
6360	6360	0.001729366712
6370	6370	0.001712159226
6380	6380	0.001695122957
6390	6390	0.001678256201
6400	6400	0.001661557273
6410	6410	0.001645024502
6420	6420	0.001628656235
6430	6430	0.001612450834
6440	6440	0.001596406681
6450	6450	0.001580522169
6460	6460	0.00156479571
6470	6470	0.001549225733
6480	6480	0.001533810679
6490	6490	0.001518549008
6500	6500	0.001503439193
6510	6510	0.001488479723
6520	6520	0.001473669102
6530	6530	0.00145900585
6540	6540	0.001444488499
6550	6550	0.001430115598
6560	6560	0.00141588571
6570	6570	0.001401797412
6580	6580	0.001387849295
6590	6590	0.001374039964
6600	6600	0.001360368038
6610	6610	0.001346832149
6620	6620	0.001333430946
6630	6630	0.001320163086
6640	6640	0.001307027244
6650	6650	0.001294022105
6660	6660	0.00128114637
6670	6670	0.001268398751
6680	6680	0.001255777973
6690	6690	0.001243282773
6700	6700	0.001230911903
6710	6710	0.001218664125
6720	6720	0.001206538214
6730	6730	0.001194532958
6740	6740	0.001182647157
6750	6750	0.001170879621
6760	6760	0.001159229174
6770	6770	0.001147694651
6780	6780	0.001136274898
6790	6790	0.001124968774
6800	6800	0.001113775148
6810	6810	0.0011026929
6820	6820	0.001091720922
6830	6830	0.001080858118
6840	6840	0.0010701034
6850	6850	0.001059455693
6860	6860	0.001048913933
6870	6870	0.001038477065
6880	6880	0.001028144045
6890	6890	0.001017913841
6900	6900	0.001007785429
6910	6910	0.0009977577965
6920	6920	0.0009878299405
6930	6930	0.0009780008684
6940	6940	0.0009682695972
6950	6950	0.0009586351537
6960	6960	0.0009490965745
6970	6970	0.0009396529058
6980	6980	0.0009303032032
6990	6990	0.0009210465317
7000	7000	0.0009118819656
7010	7010	0.0009028085884
7020	7020	0.0008938254928
7030	7030	0.0008849317806
7040	7040	0.0008761265623
7050	7050	0.0008674089573
7060	7060	0.000858778094
7070	7070	0.0008502331092
7080	7080	0.0008417731484
7090	7090	0.0008333973656
7100	7100	0.0008251049233
7110	7110	0.0008168949921
7120	7120	0.0008087667511
7130	7130	0.0008007193875
7140	7140	0.0007927520965
7150	7150	0.0007848640813
7160	7160	0.0007770545532
7170	7170	0.0007693227312
7180	7180	0.0007616678422
7190	7190	0.0007540891205
7200	7200	0.0007465858084
7210	7210	0.0007391571555
7220	7220	0.0007318024189
7230	7230	0.0007245208631
7240	7240	0.0007173117601
7250	7250	0.0007101743888
7260	7260	0.0007031080356
7270	7270	0.0006961119938
7280	7280	0.0006891855637
7290	7290	0.0006823280528
7300	7300	0.0006755387752
7310	7310	0.0006688170521
7320	7320	0.0006621622112
7330	7330	0.0006555735871
7340	7340	0.0006490505209
7350	7350	0.0006425923604
7360	7360	0.0006361984595
7370	7370	0.0006298681791
7380	7380	0.000623600886
7390	7390	0.0006173959535
7400	7400	0.0006112527611
7410	7410	0.0006051706945
7420	7420	0.0005991491455
7430	7430	0.0005931875119
7440	7440	0.0005872851975
7450	7450	0.0005814416122
7460	7460	0.0005756561715
7470	7470	0.0005699282969
7480	7480	0.0005642574156
7490	7490	0.0005586429605
7500	7500	0.0005530843701
7510	7510	0.0005475810887
7520	7520	0.0005421325658
7530	7530	0.0005367382567
7540	7540	0.0005313976218
7550	7550	0.0005261101271
7560	7560	0.0005208752439
7570	7570	0.0005156924486
7580	7580	0.000510561223
7590	7590	0.000505481054
7600	7600	0.0005004514334
7610	7610	0.0004954718585
7620	7620	0.0004905418311
7630	7630	0.0004856608583
7640	7640	0.0004808284521
7650	7650	0.000476044129
7660	7660	0.0004713074108
7670	7670	0.0004666178237
7680	7680	0.0004619748988
7690	7690	0.0004573781717
7700	7700	0.0004528271829
7710	7710	0.0004483214771
7720	7720	0.0004438606039
